,ID,Brand,Name,Colorway,Silhouette,Retail Price,Estimated Market Value,Gender,Release Date,SKU,StockX Link,GOAT Link,Image
0,53a76d7e-7b77-4689-82b9-c2f1a62d9c28,jordan,Jordan 5 Retro Reverse Metallic (PS),white/black/white/silver,air jordan 5,90,90,kids,12/7/2024,440889-110,https://stockx.com/air-jordan-5-retro-reverse-metallic-ps,https://goat.com/sneakers/air-jordan-5-retro-ps-white-black-440889-110,https://images.stockx.com/images/air-jordan-5-retro-reverse-metallic-ps.jpg?fit=fill&bg=FFFFFF&w=500&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1731101260
1,82067298-ec7a-48eb-b5cf-94f860b278e0,jordan,Jordan 5 Retro Reverse Metallic,white/black/white/silver,air jordan 5,200,116,men,12/7/2024,DD0587-110,https://stockx.com/air-jordan-5-retro-reverse-metallic,https://goat.com/sneakers/air-jordan-5-retro-white-black-dd0587-110,https://image.goat.com/attachments/product_template_pictures/images/102/998/163/original/1334513_00.png.png
2,98912f42-6f39-4a95-9d85-012e5b29c501,jordan,Jordan 5 Retro Reverse Metallic (TD),white/black/white/silver,air jordan 5,75,75,kids,12/7/2024,440890-110,https://stockx.com/air-jordan-5-retro-reverse-metallic-td,https://goat.com/sneakers/air-jordan-5-retro-td-white-black-440890-110,https://images.stockx.com/images/air-jordan-5-retro-reverse-metallic-td.jpg?fit=fill&bg=FFFFFF&w=500&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1731101238
3,b8363c11-4ea6-4246-810c-55721b7a4451,jordan,Jordan 5 Retro Reverse Metallic (GS),white/black/white/silver,air jordan 5,150,150,kids,12/7/2024,440888-110,https://stockx.com/air-jordan-5-retro-reverse-metallic-gs,https://goat.com/sneakers/air-jordan-5-retro-gs-white-black-440888-110,https://images.stockx.com/images/air-jordan-5-retro-reverse-metallic-gs.jpg?fit=fill&bg=FFFFFF&w=500&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1730318243
4,4db7ca03-1802-472b-87c1-a8ac5804f6df,jordan,Jordan 1 Retro High Golf Patent Gold Toe,black/gold/white,air jordan 1,190,190,men,12/6/2024,DQ0660-002,https://stockx.com/air-jordan-1-retro-high-golf-patent-gold-toe,,https://images.stockx.com/images/Air-Jordan-1-Retro-High-Golf-Patent-Gold-Toe.jpg?fit=fill&bg=FFFFFF&w=500&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1732558392
5,4640b332-f5c7-43ec-9470-80977e03eada,jordan,Jordan Flight Court Who Decides War Bred (Women's),black/varsity red-off noir-muslin,jordan flight court,115,115,women,12/5/2024,HQ2958-006,https://stockx.com/air-jordan-flight-court-who-decides-war-bred-womens,https://goat.com/sneakers/who-decides-war-x-wmns-jordan-flight-court-the-world-is-your-court-hq2958-006,https://images.stockx.com/images/Air-Jordan-Flight-Court-Who-Decides-War-Bred-Womens-Product.jpg?fit=fill&bg=FFFFFF&w=500&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1734037691
6,9b9c0916-ab7a-43bb-871f-f4ee118c76f5,jordan,Jordan 4 Retro Net White (Women's),white/white/gold,air jordan 4,210,2000,women,12/2/2024,FN7251-107,https://stockx.com/air-jordan-4-retro-net-womens,https://goat.com/sneakers/wmns-air-jordan-4-retro-white-phantom-fn7251-107,https://image.goat.com/attachments/product_template_pictures/images/105/644/223/original/FN7251_107.png.png
7,df92f847-3573-40f1-978c-05fc8ecf964b,jordan,Jordan 12 Retro Phantom (Women's),white/gold/white,air jordan 12,200,210,women,12/2/2024,FD9101-007,https://stockx.com/air-jordan-12-retro-phantom-womens,https://goat.com/sneakers/wmns-air-jordan-12-retro-phantom-fd9101-007,https://image.goat.com/attachments/product_template_pictures/images/105/346/606/original/FD9101_007.png.png
8,d03069df-9cc8-44e0-9bce-a598b167a876,jordan,Jordan 4 RM Iron Grey,iron grey/off noir/dark smoke grey/chambray,air jordan 4 rm,150,94,men,12/1/2024,FQ7939-002,https://stockx.com/air-jordan-4-rm-iron-grey,https://goat.com/sneakers/air-jordan-4-rm-iron-grey-fq7939-002,https://image.goat.com/attachments/product_template_pictures/images/103/229/091/original/FQ7939_002.png.png
9,0f772970-8337-4fd4-9e17-002345eeb10c,jordan,Air Jordan 1 Retro Low OG 'Game Royal',white/black/blue,air jordan 1,140,110,men,11/30/2024,CZ0790-140,https://stockx.com/air-jordan-1-retro-low-og-game-royal,https://goat.com/sneakers/air-jordan-1-retro-low-og-game-royal-cz0790-140,https://image.goat.com/attachments/product_template_pictures/images/104/574/848/original/1394984_00.png.png
